n;fib;method;measure;value
34;5702887;array;oper;35
35;9227465;array;time;0
35;9227465;array;oper;36
36;14930352;array;time;0
36;14930352;array;oper;37
37;24157817;array;time;0
37;24157817;array;oper;38
38;39088169;array;time;0
38;39088169;array;oper;39
39;63245986;array;time;0
39;63245986;array;oper;40
40;102334155;array;time;0
40;102334155;array;oper;41
41;165580141;array;time;0
41;165580141;array;oper;42
42;267914296;array;time;0
42;267914296;array;oper;43
43;433494437;array;time;0
43;433494437;array;oper;44
44;701408733;array;time;0
44;701408733;array;oper;45
